AAB	Abelag Aviation	ABG
DAA	Decatur Aviation, Inc. (Decatur, IL) - United States	Decur
DAC	?	Dominion Air
DAD	?	Dewan Express
DAE	DHL Aero Expreso, S.A. - Panama	Yellow
DAF	Danish Air Force	Danish Airforce
DAG	Daghestan Airlines - Russian Federation	Dagal
DAH	Air Algerie - Algeria	Air Algerie
DAI	?	Dena
DAJ	?	Stratus
DAL	Delta Air Lines, Inc.	Delta
DAM	DAMES, Department of Aviation Under the Ministry of Emergency Situation - Kyrgyzstan	Flight Rescue
DAN	Dana Airlines Limited - Nigeria	Danaco
DAP	Aerovias DAP - Chile	Dap
DAR	Danish Army	Danish Army
DAS	Delmun Aviation Services - Bahrain	Tylos
DAT	?	Dartlimited
DAV	Dornier Aviation Nigeria Aiep Ltd - Nigeria	Dana Air
DAY	Daya Aviation (Pvt) Ltd - Sri Lanka	Daya
DAZ	?	Hala
DBA	Air Alpha, Inc. (Cincinnati, OH)	Double-A
DBJ	Duchess of Brittany (Jersey) Ltd - United Kingdom	Duchess
DBR	?	Dobrolet
DCA	Mexico	Delcaribe
DCC	Caribbean Air Cargo - Barbados	Caricargo
DCD	Air26 S.A. - Angola	Ducard
DCE	Dutch Caribbean Express - Netherlands Antilles (Netherlands)	Dutch Caribbean
DCF	?	Desert Star
DCL	Transportes Aereos Don Carlos Ltda. - Chile	Don Carlos
DCM	Fltplan, LLC (Southbury, CT) - United States	Dot Com
DCN	Federal Armed Forces, Federal Republic of Germany - Germany	Diplomatic Clearance
DCO	?	Aerojaz
DCP	Delta Connection Limited - Kenya	Nilecat
DCR	Discovery Ltd - Ukraine	Disco
DCS	DC Aviation GmbH, Stuttgart - Germany	Twin Star
DCT	?	Airtask
DCV	Discovery Airways Limited	Discovery Jet
DCY	Inversiones y Promociones Ducoy, S.L. - Spain	Ducoy
DDA	D & D Aviation (Salt Lake City, UT)	Dusty
DDS	Addis Airlines Plc - Ethiopia	Addis Line
DDY	?	Dandy
DEC	Deccan Cargo & Express Logistics Pvt Ltd - India	Deccan Cargo
DEE	Transportation America Corporation D/B/A  Dixie Airways (Nashville, TN)	Tacair
DEF	Aviation Defense Service - France	Tirpa
DEJ	Dana Executive Jets - United Arab Emirates	Danajet
DEL	Carib Aviation Ltd - Antigua and Barbuda	Red Tail
DEM	Destiladora de Alcoholes y Mieles, S.A. de C.V. - Mexico	Destila Mieles
DER	Deer Jet Co. Ltd - China	Deer Jet
DES	?	Destinia
DEV	Red Devils Parachute Display Team	Red Devils
DEX	?	Asian Air
DFA	?	Able
DFC	Aeropartner A.S.	Dark Blue
DFL	Scandinavian Medicopter Ab	Mediflight
DFS	Dwyer Aircraft Sales, Inc. (Mason City, IA) - United States	Dwyair
DGA	?	Yellow River
DGO	DGO Jet, S.A. de C.V. - Mexico	DGO Jet
DGT	Digital Equipment Corporation (Maynard, MA) - United States	Digital
DGX	Dasnair SA - Switzerland	Dasna
DHE	DAP Helicopteros Ltda. - Chile	Helidap
DHK	DHL Air Limited - United Kingdom	World Express
DHL	Astar Air Cargo (Miami, FL)	Dahl
DHV	DHL Aviation (Pty) Ltd - South Africa	Worldstar
DHX	DHL International E.C. - Bahrain	Dilmun
DIA	Direct Air, Inc. - United States	Blue Sky
DIC	Aeromedica, S.A. de C.V. - Mexico	Aeromedica
DIG	?	Dac Air
DIR	Dirgantara Air Service, Pt. - Indonesia	Dirgantara
DIS	?	Aerodis
DJA	Antinea Airlines - Algeria	Antinea
DJC	DJT Aviation GmbH & Co Kg - Austria	Dynamicjet Charter
DJE	Durango Jet, S.A. de C.V. - Mexico	Durango Jet
DJR	?	Desert Flight
DJT	?	Dreamjet
DKE	Jubilee Airways Ltd	Duke
DKH	Juneyao Airlines Co., Ltd - China	Air Juneyao
DKR	Darik Sky - Bulgaria	Dima
DKT	?	Dakota
DLA	Air Dolomiti - Italy	Dolomiti
DLB	?	Airlink Bahamas
DLC	?	Soarcopter
DLF	Direct Fly Sp.Z.o.o. - Poland	Red Wisent
DLG	Aerolineas del Golfo, S.A. de C.V. - Mexico	Delgolfo
DLH	Deutsche Lufthansa, A.G.	Lufthansa
DLI	?	Dalia
DLK	Millennium Airlines Private Limited	Dekkanlanka
DLR	Dala Air Services Ltd - Nigeria	Dala Air
DLS	Aero Modelo, S.A. de C.V. - Mexico	Aeromodelo
DLX	?	Dreamline
DLY	Air Independence GmbH, Munchen - Germany	Daily
DMC	Aerodinamica de Monterrey, S.A. de C.V. - Mexico	Dinamicamont
DMD	Namdeb Diamond Corporation Namibia	Diamondjet
DMF	?	Demly
DMI	Aeroservicios Dinamicos, S.A. de C.V. - Mexico	Aerodinamico
DMJ	Aerolineas Damojh, S.A. de C.V. - Mexico	Damojh
DML	Aerotaxis Dosmil, S.A. de C.V. - Mexico	Roxis
DMN	Diamond Flight Academy Scandinavia Ab	Diamond Academy
DNA	Aerodespachos de El Salvador - El Salvador	Aerodespachos
DNC	Aerodynamics Malaga, S.L. - Spain	Flyingolive
DND	Eldinder Aviation - Sudan	Dinder
DNE	Venid Air - Bulgaria	Venid
DNI	Servicios Aereos Denim, S.A. de C.V. - Mexico	Aero Denim
DNL	Dutch Antilles Express B.V. - Netherlands Antilles (Netherlands)	Dutch Antilles
DNU	DOT LT - Lithuania	Danu
DNV	?	Donavia
DNY	Danish Navy	Danish Navy
DOC	Norsk Luftambulanse A/S	Helidoc
DOI	U.S. Department of the Interior, Office of Aircraft Services, (Boise, ID)	Interior
DOJ	United States Department of Justice Prisoner and Alien Transportation Service (JPATS) (El Paso, TX)	Justice
DOK	Nordic Air Ambulance A/S	Doctor
DOL	Ebsco, Inc. D/B/A Million Air Longview (Longview, TX) - United States	Dollar Sign
DOM	?	Dome Air
DON	Donair Flying Club Ltd - United Kingdom	Donair
DOP	Dancopter A/S	Dancopter
DOR	Dornier Luftfahrt GmbH, Munchen - Germany	Dornier
DOV	Dove Air Services Co. Ltd - Sudan	Dovair
DOW	?	Downtown
DPJ	?	Jet Card
DPS	Alabama Department of Public Safety (Montgomery, AL) - United States	Blue-Gray
DQA	Island Aviation - Maldives	Sky Surfer
DRB	Didier Rousset Buy - Chile	Didier
DRD	?	Aereo Dorado
DRE	Michigan Airways, Inc. D/B/A Drummond Island Air  (Drummond Island, MI)	Michigan
DRJ	?	Desert Jet
DRK	Druk Air - Bhutan	Royal Bhutan
DRL	Omni Air Transport, Llc (Tulsa, OK)	Driller
DRM	Airways Flight Training	Dartmoor
DRO	?	Adro Servicios
DRS	?	Dreamshore
DRT	Darta - France	Darta
DRU	?	Mirny
DRY	Deraya Air Taxi, Pt. - Indonesia	Deraya
DRZ	Derazona Air Service, Pt. - Indonesia	Derazona
DSA	Danbury Airways, Inc. (Danbury, CT) - United States	Danbury Airways
DSC	Addis Air Cargo Services P.L.C. - Ethiopia	Addis Cargo
DSM	LAN Argentina S.A. - Argentina	Lan Air
DSO	Dassault Falcon Service - France	Dassault
DSP	?	Suraviation
DSQ	Dasab Airlines - Nigeria	Dasab Air
DSR	Dairo Air Services,Ltd. - Uganda	Dairair
DSU	Delta State University (Cleveland, MS) - United States	Delta State
DTA	TAAG, Linhas Aereas de Angola (Angola Airlines) - Angola	DTA
DTH	Tassili Airlines - Algeria	Tassili Air
DTN	Data International Ltd - Sudan	Data Air
DTO	?	Aerodesierto
DTR	Danish Air Transport A/S	Danish
DUA	Dushanbe Air - Tajikistan	Dushanbe Air
DUB	Dubai Airwing - United Arab Emirates	Dubai
DUG	Aerotecnica S.A. - Venezuela	Atsaven
DUK	Ducair S.A. (Luxembourg Air Ambulance) - Luxembourg	Lion King
DUN	Dun'Air - Mauritania	Dunair
DVI	Aero Davinci International, S.A. de C.V. - Mexico	Aero Davinci
DVN	Adventia - Spain	Adventia
DVR	Divi Divi Air Inc. - Netherlands Antilles (Netherlands)	Divi Air
DVZ	Aerotaxi DVZ, S.A. de C.V. - Mexico	Aerotaxi DVZ
DWI	?	Dominican
DWR	Delaware Skyways, LLC (New Castle, DE) - United States	Delaware
DWT	Darwin Airline SA - Switzerland	Darwin
DXH	East Star Airlines Co., Ltd - China	East Star
DXT	Air Management Group, CJSC - Russian Federation	Dexter
DYA	?	Dynamic Air
DYM	?	Dynamic Sky
DYN	?	Aerodynamics
DZR	?	Dozer
EAA	?	Eastok
EAB	?	Gold Eagle
EAC	Executive Air Charter (Honolulu, HI) - United States	Execair
EAD	EAA - Escola de Aviacao Aerocondor, SA - Portugal	Aero-Escola
EAF	?	Electra
EAI	Elite Air - Togo	Elair
EAK	Euro-Asia Air - Kazakhstan	Eakaz
EAL	?	Eastern
EAM	Embassy Airlines Limited - Nigeria	Embassy Air
EAN	Express Airways Nigeria Limited - Nigeria	Nigeria Express
EAO	?	Marino
EAP	Aero-Pyrenees - France	Aero-Pyrenees
EAR	Transporte Ejecutivo Aereo, S.A. de C.V. - Mexico	Ejecutivo-Aereo
EAS	Executive Aerospace (Pty) Ltd - South Africa	Aerospace
EAT	Air Transport, Ltd - Slovakia	Trans Europe
EAU	?	Elite
EAV	Elitavia D.O.O. - Slovenia	Elitavia
EAW	?	Walya
EAY	?	Eurovia
EAZ	Eastern Air Limited - Zambia	Easair
EBC	Aero Ejecutivo de Baja California, S.A. de C.V. - Mexico	Caliexet
EBE	Minebea Aviation Co., Ltd - Thailand	Minebea
EBG	Eurosense - Bulgaria	Eurosense
ECA	Germany	Dark Knight
ECB	European Coastal Airlines - Croatia	Coastal Clipper
ECC	?	Eclair
ECD	Ecotour - Mexico	Ecotour
ECF	Eurocopter - France	Eurocopter
ECG	Aero Ejecutivos R.C.G., S.A. de C.V. - Mexico	Ejecutivos RCG
ECI	Eastern Carolina Aviation, Inc. (Richlands, NC) - United States	Eastern Carolina
ECJ	East Coast Jets, Inc. (Allentown, PA) - United States	Eastcoast Jet
ECL	Aeronautica Castellana, S.L. - Spain	Aero Castellana
ECM	Aerolineas Comerciales, S.A. de C.V. - Mexico	Aero Comerciales
ECN	Euro Continental Aie, S.L. - Spain	Euro Continental
ECO	?	Ecojet
ECQ	Eco Air Limited - Nigeria	Skybridge
ECT	East Coast Airways (Pty) Ltd - South Africa	Eastway
ECW	?	Ecotravel
ECX	Ecomex Air Cargo, Lda. - Angola	Air Ecomex
EDA	?	Cargo Lift
EDC	Air Charter Scotland	Saltire
EDD	Lineas Aereas Ejecutivas de Durango, S.A. de C.V. - Mexico	Lineas Durango
EDG	Western Air Charter, Inc. D/B/A Jet Edge (Scottsdale, AZ) - United States	Jet Edge
EDL	Polizeihubschrauberstaffel Bayern, Munchen	Police Edelweiss
EDO	?	Edacom
EDR	?	Birdview
EDW	Edelweiss Air AG - Switzerland	Edelweiss
EDY	?	Solway
EEF	Estonian Airforce	Estonian Airforce
EEM	Ejecutivo Aereo de Mexico, S.A. de C.V. - Mexico	Ejeaermex
EEU	Eurofly Service S.p.A. - Italy	Eurofly
EEX	?	Executive Express
EFA	Express Freighters Australia - Australia	Express Freight
EFB	?	Emerald Jets
EFC	Air Mana - France	Flight Taxi
EFD	?	Ever Flight
EFE	?	Efreight Sudan
EFF	Westair Aviation Limited	Emerald
EFG	Elifriulia S.r.l. - Italy	Elifriulia
EFL	Eagle Air Ltd - United Republic of Tanzania	Flying Eagle
EFS	Efaos, Agencia de Viagens e Turismo, Lda - Angola	Efaos
EFT	?	Zipline
EFX	Easy Fly Express Limited - Bangladesh	Easy Express
EGA	Air Eagle - Pakistan	Air Eagle
EGC	?	Eagle Creek
EGL	?	Prestige
EGM	Ecuatoguineana de Air et Maritime Service - EGAMS - Equatorial Guinea	Egams
EGO	Gauteng Air Cargo Cc - South Africa	Gauteng
EGS	?	Everglades
EGU	Eagle Aviation (U) Ltd - Uganda	African Eagle
EGV	Enrique Gleisner Vivanco - Chile	Gleisner
EHD	E H Darby Aviation (Sheffield, AL) - United States	Platinum Air
EHN	East Horizon Airlines	East Horizon
EHR	Nordurflug ehf	Rotor
EIA	Evergreen International Airlines - United States	Evergreen
EIC	Express International Cargo Corporation - Sao Tome and Principe	Excargo
EIN	Aer Lingus Teoranta	Shamrock
EIS	E.I.S. Aircraft GmbH, Kiel-Holtenau - Germany	Cool
EJA	Netjets Aviation, Inc. (Columbus, OH) - United States	Execjet
EJE	?	Voodoo
EJM	Executive Jet  Management, Inc. (Cincinnati, OH)	Jet Speed
EJO	Execujet Middle East - United Arab Emirates	Midjet
EJP	Aeroservicios Ejecutivos Corporativos, S.A. de C.V. - Mexico	Ejecorporativos
EJS	Eurojet Servis S.R.O. - Czech Republic	Eejay Service
EJT	Eclipse Aviation (Albuquerque, NM) - United States	Eclipse Jet
EJV	Compania Ejecutiva, S.A. de C.V. - Mexico	Ejecutiva
EKA	Equaflight Service - Congo	Equaflight
EKC	East Kansas City Aviation, Inc. (Grain Valley, MO) - United States	Blue Goose
EKJ	Equajet - Congo	Equajet
ELB	?	Ellinair Hellas
ELC	Small Planet Airlines	Charters Estonia
ELE	Euroairlines, S.L. - Spain	Euroline
ELH	Inaer Helicopter Italia S.p.A. - Italy	Lario
ELI	Pellissier Helicopter S.r.l. - Italy	Pellissier
ELJ	Slovakia	Topjet
ELL	Estonian Air	Estonian
ELM	Crelam, S.A. de C.V. - Mexico	Crelam
ELN	?	Eleron
ELO	Eurolot S.A. - Poland	Eurolot
ELT	Elliott Aviation, Inc. (Omaha, NE) - United States	Elliott
ELU	?	Egyptian Leisure
ELW	Yellow Wings Air Services Ltd	Yellow Wings
ELX	Elan Express (Las Vegas, NV) - United States	Elan
ELY	El Al - Israel Airlines Ltd. - Israel	Elal
ELZ	?	Hopper
EMB	Empresa Brasileira de Aeronautica, S/A - Brazil	Embraer
EMD	Ballard Aviation, Inc. D/B/A Eaglemed (Wichita, KS)	Eaglemed
EME	Metro Express, Inc. D/B/A Eastern Metro  Express (Atlanta, GA)	Emair
EMI	Premium Air Shuttle Ltd - Nigeria	Blue Shuttle
EMJ	Friendship Airways (Fort Lauderdale, FL) - United States	Light House
EML	EMA S.A., Empresa de Melos Aereos - Portugal	Emalusa
EMM	?	Ruler
EMP	Empire Air Service, Inc. (Rochester, NY) - United States	Empire
EMR	Zemmour Airlines	Zemmour
EMS	Aero Servicios Empresariales, S.A. de C.V. - Mexico	Serviempresarial
EMT	Emetebe - Ecuador	Emetebe
ENA	Espana, Direccion General de Aviacion Civil y Telecomunicaciones - Spain	Ena
ENC	Endecots S.A. - Ecuador	Endecots
END	Arrendadora y Transportadora Aerea, S.A. de C.V. - Mexico	Arrendadora
ENE	?	Jet-Ener
ENF	?	Enav Check
ENI	Enimex Ltd	Enimex
ENJ	Enerjet (1263343 Alberta Inc.) - Canada	Enerjet Air
ENL	?	Optimos
ENS	Entergy Services, Inc. (New Orleans, LA) - United States	Entergy Shuttle
ENT	?	Enterair
ENW	Aeronaves del Noroeste - Spain	Aeronor
ENY	?	Envoy
ENZ	?	Enzo
EOA	Elilombarda S.r.l. - Italy	Lombarda
EOL	Airailes - France	Eole
EOM	Aero Ermes, S.A. de C.V. - Mexico	Aero Ermes
EOP	Eolo Plus, S.A. de C.V. - Mexico	Eolo Plus
EOS	Eliossola S.r.l. - Italy	Eliossola
EPA	Shenzhen Donghai Airlines Co., Ltd - China	Donghai Air
EPB	?	Dong Jet
EPE	Aero Empresarial, S.A. de C.V. - Mexico	Aeroempresarial
EPJ	Trabajos Aereos Espejo S.L. - Spain	Espejo
EPL	Aero Transportes Empresariales - Mexico	Empresariales
EPR	?	Emperor
EPS	Epps Air Service, Inc. (Atlanta, GA) - United States	Epps Air
EPU	Aero Elite Acapulco, S.A. de C.V. - Mexico	Elitacapulco
EQL	Air Sao Tome and Principe - Sao Tome and Principe	Equatorial
EQT	Flight Academy Blackpool	Equity
EQZ	Equatair Air Services (Z) Limited - Zambia	Zambia Cargo
ERA	Aerotaxis Tucan, S.A. de C.V. - Mexico	Rocan
ERD	?	Seread
ERE	Erie Airways, Inc. (Erie, PA) - United States	Air Erie
ERH	Era Helicopters, Inc. (Anchorage, AK)	Era Heli
ERI	Aero Servicios Regiomontanos, S.A. de C.V. - Mexico	Asergio
ERK	Aerosec - Chile	Aerosec
ERL	Aero Lab, S.A. de C.V. - Mexico	Aerolab
ERM	Aeromaan, S.A. de C.V. - Mexico	Eomaan
ERN	?	Ernest
ERO	?	Aeroecom
ERR	Era Aviation (Anchorage, AK)	Erah
ERT	Eritrean Airlines - Eritrea	Eritrean
ERX	Earth Airlines Services Limited - Nigeria	Earth Air
ERY	?	Erie Shore
ESA	Escair, S.L. - Spain	Malagair
ESB	Aereosaba, S.A. de C.V.	Aereosaba
ESC	El Sol de America C.A. - Venezuela	Solamerica
ESD	?	Eastindo
ESE	Ensenada Vuelos Especiales, S.A. de C.V. - Mexico	Ensenada Especial
ESF	Estafeta Carga Aerea, S.A. de C.V. - Mexico	Estafeta
ESJ	Eastern Sky Jets - United Arab Emirates	Eastern Skyjets
ESL	Russian Sky Airlines	Raduga
ESM	Executive Aircraft Services S.A.L. - Lebanon	Exec Aircraft
ESN	Euro Sun - Gul Havacilik Isletmeleri Sanayi Ve Ticaret A.S. - Turkey	Euro Sun
ESQ	?	Europ Star
ESR	Eastarjet - Republic of Korea	Eastarjet
EST	?	Reval
ESW	?	W-Business
ESX	Euroskylink Ltd - United Kingdom	Catfish
ESY	Easoflyers, S.L. - Spain	Donosti
ESZ	Aeronautica La Esperanza, S.A. de C.V. - Mexico	Esperanza
ETA	?	Time Machine
ETC	African Transport Trading and Investment Co. (Attico) - Sudan	Tranattico
ETD	Etihad Airways	Etihad
ETH	Ethiopian Airlines Corporation	Ethiopian
ETI	Eastair Kb	Jethawk
ETJ	East Air - Tajikistan	East Tajik
ETL	Patterson Aviation Company (Sacramento, CA) - United States	Entel
ETM	Etram Air Wing - Angola	Etram
ETN	Chim-Nir Aviation - Israel	Chimnir
ETP	Empire Test Pilots School - United Kingdom	Tester
ETR	Estelair Latinoamerica, C.A. - Venezuela	Estel
ETW	Eagle Trans Asia Airways Corp. - Philippines	Eagle Trans
ETZ	?	Aero Zodiac
EUP	?	Ali
EUU	Euroamerican Air - Uruguay	Euroamerican
EUW	EFS European Flight Service Ab	Eurowest
EVA	?	Eva
EVE	Evelop Airline, S.L.	Evelop
EVJ	?	Everjets
EVK	?	Everett
EVL	?	Evolem
EVM	Natural Environment Research Council  - United Kingdom	Science
EVP	?	Euroair
EVR	Aeronautical Academy of Europe - Academia Aeronautica de Evora, S.A.  - Portugal	Diana
EWA	Ewest Air	Ewest
EWG	Eurowings GmbH	Eurowings
EWR	?	Mayotte Air
EWZ	East Wing - Kazakhstan	E-Wing
EXA	IMP Group Ltd - Canada	Canadianexecaire
EXB	Brazilian Army Aviation - Brazil	Brazilian Army
EXD	?	Platinum Exec
EXE	Executive Flight, Inc. (Arlington, TX)	Exec
EXF	Eximflight, S.A. de C.V. - Mexico	Eximflight
EXJ	?	Volante
EXM	CAA Flight Examiners	Exam
EXN	Exin - Poland	Exin
EXP	?	Island Express
EXS	Jet2.com Ltd	Channex
EXT	Night Express, Frankfurt	Executive
EXU	Executive Airlines, S.L. - Spain	Sacir
EXV	Fits Aviation (Pvt) Ltd	Expoavia
EXY	SA Express Airways - South Africa	Expressways
EXZ	East African Safari Air Express Limited - Kenya	Twiga
EYE	F.S. Air Service, Inc. (Anchorage, AK) - United States	Sockeye
EYT	?	Jernas
EZA	Eznis Airways LLC - Mongolia	Eznis
EZB	Flugschule Eichenberger AG - Switzerland	Eichenberger
EZE	Eastern Airways (UK) Limited - United Kingdom	Eastflight
EZJ	?	Guyana Jet
EZS	Easy Jet Switzerland SA - Switzerland	Topswiss
EZX	?	Eaglexpress Air
EZY	Easyjet Airlines Co. Ltd	Easy
FAB	?	First Air
FAC	?	Colombian Air Force
FAD	?	Purple
FAE	?	Ecuadorian Airforce
FAF	Force Aerienne Francaise - France	French Air Force
FAG	Fuerza Aerea Argentina - Argentina	Fuaer
FAH	Farnair Hungary Ltd - Hungary	Blue Strip
FAI	Falcon Air, Inc. (Flint, MI) - United States	Motor-City
FAK	Financial Airxpress	Facts
FAL	Friendship Air Alaska (Fairbanks, AK) - United States	Friendship
FAM	Fuerza Aerea Mexicana - Mexico	Famex
FAN	AF-Air International - Angola	Fanbird
FAO	Falcon Air Express (Miami, FL) - United States	Panther
FAP	?	Fair School
FAR	AG-Raum GmbH, Warngau - Germany	Torro
FAT	Switzerland	Farner
FAU	Falcon Airline Limited - Nigeria	Falcon Airline
FAV	Fair Aviation Pty Ltd - South Africa	Fairavia
FAW	Falwell Aviation, Inc. (Lynchburg, VA)	Falwell
FAX	Midwest Air Freighters (Kansas City, KS)	Fairfax
FAY	Fayban Air Services - Nigeria	Fayban Air
FAZ	Flint Aviation Services, Inc. (Flint, MI) - United States	Flint Air
FBA	?	Iraq Express
FBC	South Africa	Blue Crane
FBE	Pan African Airlines Leasing Company Ltd - Mauritius	Afribee
FBN	Florida Air Transport, Inc. (Opa Locka, FL) - United States	Florida Transport
FBR	?	Avangard
FBU	?	French Blue
FBY	Fly Bai, S.L. - Spain	Bai Fly
FCB	?	Apollo
FCH	?	Sky Union
FCJ	?	Fracjet
FCK	Germany	Nav Checker
FCL	Florida Coastal Airlines, Inc. (Fort Pierce, FL) - United States	Florida Coastal
FCM	Flybe Finland Oy	Finncomm
FCO	Aerofrisco - Mexico	Aerofrisco
FCP	Flight Corporation Ltd - New Zealand	Flightcorp
FCS	Facts Air, S.A. de C.V. - Mexico	Mexfacts
FCX	Falcon Express Cargo Airlines - United Arab Emirates	Falcon Cargo
FDA	Fuji Dream Airlines - Japan	Fuji Dream
FDB	Flydubai - United Arab Emirates	Sky Dubai
FDK	?	Damavia
FDL	Farmingdale State University (Farmingdale, NY)	Farmingdale State
FDM	Freedom Airlines, Inc. (Binghamton, NY) - United States	Liberty
FDN	?	Flying Dolphin
FDO	France Douanes - France	French Custom
FDR	Federal Air (Pty) Ltd - South Africa	Fedair
FDS	African Medical and Research Foundation (AMREF) - Kenya	Flydoc
FDT	?	Freedom Eagle
FDX	Federal Express Corporation (Little Rock, AR)	Fedex
FDY	?	Friendly
FEA	?	Far Eastern
FEG	?	Sky Egypt
FEI	Eagle Air Iceland (Flugfelagid Ernir) - Iceland	Arctic Eagle
FEM	?	Zim Airlink
FEN	Eurocopter UK Ltd - United Kingdom	Fenestron
FEO	Aeroferinco, S.A. de C.V. - Mexico	Ferinco
FES	Aero Taxis y Servicios Alfe, S.A. de C.V. - Mexico	Aero Alfe
FET	?	Freight Line
FEX	Flightexec - Canada	Flightexec
FFA	Avialesookhrana - Russian Federation	Avialesookhrana
FFB	Africair Service - Senegal	Foxtrot Foxtrot
FFC	Fairoaks Flight Centre - United Kingdom	Fairoaks
FFD	Stuttgarter Flugdienst GmbH, Stuttgart - Germany	First Flight
FFE	?	Smart Trainer
FFF	Freedom Air Services Ltd - Nigeria	Inter Freedom
FFH	Shalom Air Services - Nigeria	Peace Air
FFI	Infinit Air, S.L. - Spain	Infinit
FFL	United States	Foreflight
FFM	Flyfirefly Sdn Bhd - Malaysia	Firefly
FFS	Florida Dept of Agriculture (Tallahassee, FL) - United States	Forestry
FFT	Frontier Airlines, Inc. (Denver, CO) - United States	Frontier Flight
FFU	GEC Marconi Avionics Ltd - United Kingdom	Ferranti
FFV	Five Forty Aviation Ltd - Kenya	Swift Tango
FFX	Nordeste Linhas Aereas, S.A. - Brazil	Flex Brazil
FGA	Georgian Aviation Federation - Georgia	Georgia Fed
FGC	Departamento de Agricultura de la Generalitat de Cataluna - Spain	Forestales
FGD	?	Fireguard
FGE	?	Georgian Wing
FGG	?	Bluefinch
FGN	Gendarmerie Nationale - France	France Gendarme
FGP	Flying-Research Aerogeophysical Center Ltd - Russian Federation	Flying Center
FGS	Elitellina S.r.l. - Italy	Elitellina
FGT	Aero Freight, S.A. de C.V. - Mexico	Freiaero
FHV	?	Patrol
FHY	Free Bird Airlines (Hurkus Havayolu Tasimacilik Ve Ticaret A.S.) - Turkey	Freebird Air
FIA	?	Fia Airlines
FIC	Aerosafin, S.A. de C.V. - Mexico	Aerosafin
FIF	Oy Air Finland Ltd, Finland	Air Finland
FIH	HEMS hallinnointi Oy	Finnhems
FIL	Fly Line S.L. - Spain	Flyline
FIN	Finnair Oyj	Finnair
FIV	Citationshares, LLC (Greenwhich, CT) - United States	Five Star
FIX	Airfix Aviation, Finland	Airfix
FJA	?	Link Fiji
FJB	?	Fastbird
FJI	?	Fiji
FJM	?	Greenheart
FJR	Jordan	Solitaire Air
FJS	Florida Jet Service, Inc. (Fort Lauderdale, FL) - United States	Floridajet
FJW	?	Zimbird
FKL	?	Kelner
FKS	Omega Air Holdings, LLC D/B/A Focus Air (Ft. Lauderdale, FL)	Focus
FKZ	?	Kumba
FLA	?	Su Air
FLB	?	Rossignol
FLC	?	Flight Check
FLD	Empresa Floridian S.A. - Uruguay	Floridian
FLE	Flair Airlines Ltd - Canada	Flair
FLF	Friendship Airlines Ltd - Uganda	Friend Air
FLH	Sky Bus, Inc. (Denver, CO) - United States	Mile High
FLI	Atlantic Airways, Faroe Islands P/F - Denmark	Faroeline
FLJ	?	Flairjet
FLK	Flylink Express S.A. - Spain	Flylink
FLL	Federal Airlines - Sudan	Federal Airlines
FLO	Flycom D.O.O. - Slovenia	Flycom
FLP	FL140 Parachutisme Bordeaux	Parapro
FLR	Fleetair - South Africa	Fleetair
FLS	?	Rapidos
FLV	Civair Airways (Pty) Ltd T/A Redair - South Africa	Sky Red
FLW	Flowair Aviation - France	Quickflow
FLX	Flight Express, Inc.  (Orlando, FL)	Flight Express
FMA	Fumigacion Aerea Andaluza, S.A. - Spain	Faasa
FMF	?	Egypt Academy
FMG	FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt, Buren - Germany	Husky
FMI	?	Gecko
FMR	Flamingo Air, Inc. (Cincinnati, OH)	Flamingo Air
FMS	Hadison Aviation - Sudan	Hadi
FMX	?	Fastmex
FMY	Aviation Legere de l'Armee de Terre - France	French Army
FNC	Finalair Congo - Congo	Finalair Congo
FNF	Finnish Air Force Headquarters	Finnforce
FNG	Frontier Guard, Finland	Finnguard
FNL	Lapin Tilauslento oy	Finn Flight
FNO	Aeroflota del Noroeste S.L. - Spain	Riazor
FNS	Finesse Executive Ltd	Finesse
FNT	?	Avialight
FNY	France Marine Nationale - France	French Navy
FOA	?	Fortune Air
FOC	Office Federal de l'Aviation Civile	Foca
FOH	?	Orion
FON	Flyington Freights Limited - India	Flyington
FOP	?	Fokker Services
FOR	Formula One Management Limited - United Kingdom	Formula
FOT	Aviat Aviacion y Trabajos Aereos, S.L. - Spain	Avifoto
FPG	Tag Aviation S.A. - Switzerland	Tag Aviation
FPK	?	Feather
FPL	Australian Federal Police - Australia	Fedpol
FPO	France	French Post
FQA	?	Quik Lift
FRA	FR Aviation Ltd - United Kingdom	Rushton
FRB	?	Rakway
FRC	Icare Franche Compte - France	Franche Compte
FRD	Ford Motor Company (Detroit, MI) - United States	Ford
FRE	Aviation Services, Ltd. (Agana, Guam)	Freedom
FRF	Fleet Air International Ltd - Hungary	Fairfleet
FRG	Freight Runners Express, Inc. (Milwaukee, WI) - United States	Freight Runners
FRI	?	Freeflight
FRJ	Afrijet Airlines - Nigeria	Afrijet
FRK	Afrika Aviation Handlers Limited - Kenya	Afrifast
FRN	?	First Nation
FRQ	Afrique Chart'Air - Cameroon	Charter Afrique
FRR	Fresh Air Ltd - Nigeria	Fresh Air
FRS	?	Comfort Servicios
FRU	?	French Rescue
FRW	Farwest Airlines, Inc. (Chandler, AZ)	Farwest
FRX	?	Fort Aero
FSA	Foster Aviation (Nome, AK) - United States	Foster-Air
FSB	FSB Flugservice & Development GmbH, Berlin - Germany	Seabird
FSC	Four Star Aviation D/B/A Four Star Gargo  (St. Thomas, VI) - United States	Four Star
